filter,lookback,threshold,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,n_trades,win_rate_pct,n_days,min_pct,confirm_bars
vol,126.0,0.3,247.53,28.27,0.89,-47.22,32,50.39,1826,,
vol,126.0,0.4,217.58,25.98,0.86,-37.14,28,50.14,1826,,
vol,126.0,0.5,161.92,21.22,0.77,-39.12,24,49.83,1826,,
vol,126.0,0.6,158.6,20.91,0.78,-29.92,18,50.22,1826,,
vol,126.0,0.7,76.58,12.04,0.56,-31.18,14,50.0,1826,,
vol,252.0,0.3,145.68,19.68,0.7,-44.81,32,49.3,1826,,
vol,252.0,0.4,134.55,18.58,0.68,-41.57,28,49.84,1826,,
vol,252.0,0.5,93.09,14.06,0.57,-44.2,26,48.77,1826,,
vol,252.0,0.6,82.4,12.77,0.56,-40.01,22,51.13,1826,,
vol,252.0,0.7,25.85,4.7,0.32,-24.82,14,47.11,1826,,
margin,,,220.13,26.19,0.78,-44.89,58,49.34,1826,0.25,
margin,,,178.23,22.7,0.71,-46.6,58,49.15,1826,0.5,
margin,,,150.51,20.15,0.66,-46.6,58,48.97,1826,1.0,
margin,,,117.33,16.79,0.6,-46.6,56,48.85,1826,1.5,
margin,,,100.05,14.87,0.56,-44.05,52,48.21,1826,2.0,
margin,,,192.95,23.97,0.79,-39.97,42,49.16,1826,3.0,
confirm,,,186.79,23.44,0.74,-44.15,48,47.98,1826,,2.0
confirm,,,261.4,29.28,0.97,-29.43,28,51.27,1826,,3.0
confirm,,,170.5,22.01,0.84,-27.5,16,51.32,1826,,4.0
confirm,,,1.1,0.22,0.13,-26.2,12,42.42,1826,,5.0
