lookback,take_profit_pct,stop_loss_pct,max_hold_bars,trend_ema_period,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
30,0.006,0.002,45,120.0,-9.3,98,37.8,0.0006,9070.0,6,33,59
30,0.006,0.0015,45,120.0,-9.3,101,36.6,0.0036,9070.0,6,45,50
30,0.006,0.0015,45,60.0,-9.68,119,39.5,0.0147,9032.0,7,51,61
30,0.004,0.0015,45,120.0,-10.13,105,37.1,-0.0015,8987.0,10,47,48
30,0.006,0.0015,45,,-10.28,130,41.5,0.0168,8972.0,7,54,69
30,0.006,0.002,45,60.0,-10.44,117,39.3,0.0061,8956.0,7,38,72
30,0.004,0.002,45,120.0,-10.52,103,37.9,-0.0077,8948.0,11,37,55
30,0.006,0.003,45,120.0,-10.63,96,39.6,-0.0168,8937.0,6,24,66
30,0.006,0.002,45,,-10.88,126,42.1,0.0092,8912.0,7,41,78
30,0.003,0.0015,45,120.0,-10.99,110,36.4,-0.0056,8901.0,21,50,39
30,0.006,0.0015,30,120.0,-11.14,119,40.3,0.001,8886.0,4,44,71
30,0.003,0.002,45,120.0,-11.26,107,37.4,-0.0115,8874.0,21,38,48
30,0.004,0.0015,45,60.0,-11.36,124,38.7,0.003,8864.0,13,55,56
30,0.006,0.002,30,120.0,-11.54,116,42.2,-0.0055,8846.0,4,33,79
30,0.004,0.0015,45,,-11.66,135,40.7,0.0084,8834.0,16,58,61
30,0.003,0.0015,45,60.0,-11.87,129,39.5,0.0022,8813.0,24,55,50
30,0.006,0.003,45,60.0,-11.88,115,41.7,-0.0097,8812.0,7,28,80
30,0.004,0.0015,30,120.0,-11.97,121,41.3,-0.0052,8803.0,8,44,69
30,0.006,0.003,45,,-12.0,123,43.9,-0.0032,8800.0,7,28,88
30,0.004,0.003,45,120.0,-12.11,101,39.6,-0.0276,8789.0,11,27,63
30,0.004,0.002,45,60.0,-12.18,122,38.5,-0.0062,8782.0,12,40,70
30,0.003,0.0015,30,120.0,-12.22,124,41.9,-0.0049,8778.0,18,44,62
30,0.006,0.003,30,120.0,-12.28,115,43.5,-0.0137,8772.0,4,21,90
20,0.006,0.0015,45,120.0,-12.33,122,32.8,-0.0077,8767.0,7,58,57
30,0.004,0.002,45,,-12.33,131,41.2,0.0002,8767.0,15,43,73
30,0.002,0.0015,45,120.0,-12.34,118,40.7,-0.0115,8766.0,30,51,37
30,0.003,0.002,45,60.0,-12.4,126,39.7,-0.0049,8760.0,23,40,63
30,0.004,0.002,30,120.0,-12.4,118,43.2,-0.012,8760.0,7,33,78
30,0.006,0.0015,30,60.0,-12.48,142,42.3,0.0064,8752.0,5,50,87
30,0.003,0.002,30,120.0,-12.62,121,43.8,-0.0114,8738.0,18,33,70
30,0.003,0.0015,45,,-12.75,142,40.8,0.0042,8725.0,27,60,55
30,0.003,0.003,45,120.0,-12.92,105,39.0,-0.0315,8708.0,21,28,56
20,0.006,0.002,45,120.0,-12.96,119,33.6,-0.0164,8704.0,7,47,65
20,0.004,0.0015,45,120.0,-12.98,127,33.9,-0.0093,8702.0,13,60,54
30,0.006,0.002,30,60.0,-13.06,140,43.6,0.0002,8694.0,5,41,94
30,0.003,0.002,45,,-13.11,137,42.3,-0.002,8689.0,26,45,66
5,0.006,0.002,45,120.0,-13.12,137,43.1,-0.0024,8688.0,9,52,76
30,0.004,0.003,30,120.0,-13.13,117,44.4,-0.0201,8687.0,7,21,89
30,0.002,0.002,45,120.0,-13.19,116,40.5,-0.0218,8681.0,30,41,45
30,0.006,0.0015,20,120.0,-13.23,136,41.9,-0.0042,8677.0,4,42,90
30,0.002,0.0015,45,60.0,-13.34,141,44.0,-0.0014,8666.0,41,58,42
15,0.006,0.002,45,120.0,-13.36,124,37.1,-0.0154,8664.0,7,47,70
20,0.006,0.0015,45,60.0,-13.38,145,36.6,0.0012,8662.0,8,69,68
30,0.003,0.003,30,120.0,-13.38,120,45.0,-0.0194,8662.0,18,20,82
5,0.006,0.003,45,120.0,-13.43,129,45.7,-0.0115,8657.0,9,26,94
15,0.006,0.0015,45,120.0,-13.5,130,33.1,-0.0114,8650.0,7,62,61
10,0.006,0.0015,45,120.0,-13.6,138,36.2,-0.0057,8640.0,8,65,65
30,0.004,0.0015,30,60.0,-13.6,145,42.1,-0.0006,8640.0,10,50,85
30,0.004,0.003,45,60.0,-13.72,120,40.8,-0.0227,8628.0,12,30,78
30,0.002,0.0015,30,120.0,-13.77,133,43.6,-0.0113,8623.0,28,48,57
30,0.004,0.0015,20,120.0,-13.8,139,42.4,-0.0067,8620.0,5,42,92
30,0.004,0.003,45,,-13.88,129,42.6,-0.0152,8612.0,15,30,84
30,0.006,0.0015,30,,-13.94,159,42.1,0.0058,8606.0,5,58,96
10,0.006,0.002,45,120.0,-13.97,133,39.8,-0.0129,8603.0,8,53,72
5,0.006,0.0015,45,120.0,-13.97,148,38.5,-0.0014,8603.0,9,72,67
20,0.004,0.002,45,120.0,-13.98,125,34.4,-0.0203,8602.0,14,51,60
30,0.002,0.003,45,120.0,-13.99,113,43.4,-0.0332,8601.0,31,26,56
30,0.003,0.0015,30,60.0,-13.99,150,43.3,-0.0003,8601.0,21,52,77
30,0.003,0.003,45,60.0,-13.99,124,41.9,-0.0213,8601.0,23,31,70
30,0.006,0.002,20,120.0,-14.04,136,42.6,-0.011,8596.0,4,32,100
30,0.002,0.002,45,60.0,-14.05,138,44.2,-0.0096,8595.0,41,44,53
20,0.003,0.0015,45,120.0,-14.1,130,33.1,-0.0167,8590.0,22,62,46
30,0.004,0.002,30,60.0,-14.1,143,43.4,-0.0061,8590.0,10,40,93
30,0.002,0.0015,45,,-14.11,153,46.4,0.0007,8589.0,45,61,47
15,0.004,0.0015,45,120.0,-14.14,135,34.1,-0.0128,8586.0,13,64,58
15,0.006,0.003,45,120.0,-14.15,120,40.8,-0.0268,8585.0,8,32,80
30,0.003,0.0015,20,120.0,-14.21,141,42.6,-0.0086,8579.0,11,43,87
10,0.006,0.003,45,120.0,-14.24,126,43.7,-0.0216,8576.0,9,29,88
15,0.004,0.002,45,120.0,-14.38,130,37.7,-0.0192,8562.0,14,51,65
30,0.006,0.002,30,,-14.4,156,44.2,0.0005,8560.0,5,44,107
10,0.004,0.0015,45,120.0,-14.42,143,37.1,-0.0087,8558.0,15,68,60
30,0.002,0.002,30,120.0,-14.51,131,44.3,-0.0195,8549.0,28,37,66
30,0.003,0.002,30,60.0,-14.56,148,44.6,-0.0062,8544.0,22,42,84
20,0.006,0.003,45,120.0,-14.58,116,35.3,-0.0356,8542.0,7,31,78
5,0.004,0.002,45,120.0,-14.59,142,42.3,-0.0108,8541.0,16,55,71
30,0.004,0.002,20,120.0,-14.6,139,43.2,-0.0134,8540.0,5,32,102
30,0.003,0.003,45,,-14.67,135,43.7,-0.0169,8533.0,26,30,79
20,0.006,0.002,45,60.0,-14.68,142,36.6,-0.0115,8532.0,8,56,78
30,0.006,0.003,30,60.0,-14.71,140,44.3,-0.0134,8529.0,5,27,108
30,0.006,0.0015,20,60.0,-14.76,164,41.5,0.0027,8524.0,5,45,114
30,0.002,0.002,45,,-14.84,149,47.0,-0.0074,8516.0,45,47,57
15,0.004,0.003,45,120.0,-14.85,124,42.7,-0.0293,8515.0,14,33,77
30,0.002,0.003,45,60.0,-14.88,135,47.4,-0.0192,8512.0,41,29,65
15,0.006,0.0015,45,60.0,-14.9,155,36.1,-0.0039,8510.0,8,76,71
30,0.002,0.0015,20,120.0,-14.92,146,43.8,-0.0106,8508.0,21,45,80
20,0.003,0.002,45,120.0,-14.96,127,33.9,-0.0274,8504.0,22,51,54
20,0.004,0.0015,45,60.0,-14.99,152,36.2,-0.0066,8501.0,18,74,60
30,0.004,0.0015,30,,-14.99,162,42.6,-0.0001,8501.0,11,57,94
30,0.004,0.0015,20,60.0,-15.01,165,41.8,0.0016,8499.0,8,44,113
5,0.004,0.003,45,120.0,-15.02,134,45.5,-0.0211,8498.0,16,28,90
20,0.006,0.0015,30,120.0,-15.03,143,36.4,-0.0137,8497.0,5,58,80
30,0.003,0.002,20,120.0,-15.04,141,43.3,-0.0155,8496.0,11,33,97
15,0.006,0.002,45,60.0,-15.08,148,39.2,-0.0102,8492.0,8,56,84
30,0.002,0.003,30,120.0,-15.13,130,45.4,-0.026,8487.0,29,22,79
5,0.004,0.0015,45,120.0,-15.16,153,39.2,-0.0073,8484.0,17,75,61
30,0.006,0.0015,20,,-15.22,180,43.3,0.0085,8478.0,5,47,128
10,0.004,0.002,45,120.0,-15.28,139,40.3,-0.019,8472.0,15,58,66
30,0.004,0.002,30,,-15.33,159,44.7,-0.0045,8467.0,11,42,106
10,0.003,0.0015,45,120.0,-15.34,148,37.2,-0.0124,8466.0,26,71,51
30,0.003,0.0015,30,,-15.35,166,44.0,-0.0002,8465.0,22,59,85
20,0.003,0.0015,45,60.0,-15.38,153,37.9,-0.009,8462.0,25,70,58
15,0.006,0.003,30,120.0,-15.44,145,44.1,-0.0154,8456.0,6,23,116
15,0.003,0.0015,45,120.0,-15.46,139,33.1,-0.0206,8454.0,22,67,50
15,0.006,0.002,30,120.0,-15.47,149,40.9,-0.0126,8453.0,6,46,97
15,0.003,0.002,45,120.0,-15.5,133,36.8,-0.0264,8450.0,22,52,59
15,0.006,0.0015,30,120.0,-15.5,154,37.7,-0.0091,8450.0,6,62,86
30,0.006,0.003,20,120.0,-15.52,136,42.6,-0.0238,8448.0,4,18,114
20,0.006,0.002,30,120.0,-15.52,140,39.3,-0.0203,8448.0,5,43,92
30,0.003,0.0015,20,60.0,-15.53,169,42.6,0.0003,8447.0,16,46,107
20,0.004,0.0015,30,120.0,-15.55,145,37.2,-0.0164,8445.0,10,58,77
30,0.003,0.002,30,,-15.6,162,45.7,-0.0045,8440.0,23,43,96
30,0.004,0.003,30,60.0,-15.64,143,44.1,-0.0187,8436.0,10,26,107
30,0.006,0.002,20,60.0,-15.7,164,41.5,-0.004,8430.0,5,32,127
30,0.004,0.0015,20,,-15.71,182,42.9,0.0062,8429.0,10,47,125
20,0.002,0.0015,45,120.0,-15.74,139,36.7,-0.0231,8426.0,31,65,43
10,0.004,0.003,45,120.0,-15.76,131,44.3,-0.0306,8424.0,15,32,84
30,0.002,0.0015,30,60.0,-15.79,162,44.4,-0.006,8421.0,35,58,69
30,0.002,0.002,20,120.0,-15.81,146,44.5,-0.0178,8419.0,21,34,91
20,0.004,0.003,45,120.0,-15.86,122,36.1,-0.0412,8414.0,14,34,74
30,0.004,0.002,20,60.0,-15.9,165,41.8,-0.0048,8410.0,8,31,126
20,0.003,0.0015,30,120.0,-15.95,148,37.8,-0.0172,8405.0,19,58,71
30,0.002,0.003,45,,-15.96,146,48.6,-0.0186,8404.0,46,29,71
10,0.006,0.0015,45,60.0,-15.96,163,37.4,-0.0065,8404.0,8,82,73
30,0.006,0.003,30,,-15.97,156,44.9,-0.0113,8403.0,5,29,122
30,0.004,0.003,20,120.0,-16.07,139,43.2,-0.0259,8393.0,5,18,116
20,0.004,0.002,30,120.0,-16.07,142,40.1,-0.0232,8393.0,9,43,90
20,0.004,0.002,45,60.0,-16.09,148,36.5,-0.0183,8391.0,17,58,73
15,0.003,0.003,45,120.0,-16.12,129,41.9,-0.036,8388.0,24,33,72
10,0.006,0.003,30,120.0,-16.16,154,41.6,-0.0142,8384.0,6,26,122
30,0.003,0.003,30,60.0,-16.16,148,45.3,-0.0189,8384.0,22,25,101
10,0.006,0.002,45,60.0,-16.21,156,40.4,-0.0131,8379.0,8,61,87
