roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
1,0.003,3.0,0.003,0.002,10,-5.95,69,44.9,0.0114,9405.0,23,32,14
1,0.003,3.0,0.005,0.002,30,-6.37,67,29.9,0.0022,9363.0,16,41,10
1,0.003,3.0,0.003,0.002,20,-6.51,69,40.6,0.0027,9349.0,24,35,10
1,0.003,3.0,0.003,0.002,30,-6.55,69,39.1,0.002,9345.0,25,36,8
1,0.003,3.0,0.003,0.003,10,-6.77,69,47.8,-0.0013,9323.0,24,21,24
1,0.003,3.0,0.005,0.002,10,-6.77,68,35.3,-0.0027,9323.0,10,36,22
1,0.003,3.0,0.005,0.002,20,-6.97,67,29.9,-0.0073,9303.0,14,40,13
1,0.003,3.0,0.005,0.003,30,-7.0,67,37.3,-0.0076,9300.0,18,33,16
1,0.003,3.0,0.005,0.003,20,-7.6,67,35.8,-0.0174,9240.0,16,30,21
1,0.003,3.0,0.003,0.003,20,-7.61,69,44.9,-0.0143,9239.0,25,26,18
1,0.003,3.0,0.003,0.003,30,-7.61,69,44.9,-0.0143,9239.0,27,29,13
1,0.003,3.0,0.005,0.003,10,-7.63,68,38.2,-0.0163,9237.0,10,22,36
1,0.003,2.0,0.005,0.003,30,-8.2,97,41.2,0.0124,9180.0,27,44,26
1,0.003,2.0,0.005,0.002,30,-8.26,97,33.0,0.0116,9174.0,23,56,18
1,0.003,2.0,0.005,0.002,10,-8.49,98,39.8,0.0099,9151.0,15,49,34
1,0.003,2.0,0.005,0.003,20,-8.74,97,40.2,0.0062,9126.0,24,40,33
1,0.003,2.0,0.005,0.002,20,-8.79,97,33.0,0.0055,9121.0,20,53,24
1,0.003,2.0,0.003,0.002,10,-9.04,99,45.5,0.0046,9096.0,30,46,23
1,0.003,2.0,0.005,0.003,10,-9.32,98,42.9,0.0007,9068.0,16,32,50
2,0.003,3.0,0.003,0.002,10,-9.33,106,45.3,0.0078,9067.0,29,47,30
2,0.003,3.0,0.005,0.002,10,-9.35,103,38.8,0.0051,9065.0,13,49,41
1,0.003,2.0,0.003,0.002,30,-9.45,99,39.4,0.0,9055.0,34,51,14
1,0.003,2.0,0.003,0.002,20,-9.74,99,39.4,-0.0032,9026.0,32,49,18
2,0.003,3.0,0.005,0.002,30,-9.84,103,31.1,-0.0001,9016.0,24,64,15
2,0.003,3.0,0.005,0.002,20,-9.96,103,33.0,-0.0015,9004.0,21,59,23
1,0.003,2.0,0.003,0.003,10,-10.0,99,48.5,-0.0061,9000.0,32,31,36
2,0.003,3.0,0.003,0.003,10,-10.02,106,49.1,0.0007,8998.0,32,32,42
1,0.003,2.0,0.003,0.003,30,-10.14,99,46.5,-0.0076,8986.0,39,40,20
1,0.003,2.0,0.003,0.003,20,-10.58,99,45.5,-0.0126,8942.0,35,37,27
2,0.003,3.0,0.005,0.003,10,-10.6,103,41.7,-0.0083,8940.0,13,34,56
2,0.003,3.0,0.003,0.002,20,-10.66,106,39.6,-0.0061,8934.0,33,55,18
2,0.003,3.0,0.003,0.002,30,-11.02,106,37.7,-0.0098,8898.0,36,59,11
2,0.003,3.0,0.005,0.003,30,-11.63,102,37.3,-0.0206,8837.0,26,52,24
2,0.003,3.0,0.005,0.003,20,-11.78,103,37.9,-0.0211,8822.0,23,45,35
1,0.002,3.0,0.003,0.002,10,-11.88,130,45.4,0.003,8812.0,36,59,35
1,0.002,3.0,0.005,0.002,30,-12.0,126,31.7,-0.001,8800.0,27,77,22
2,0.003,3.0,0.003,0.003,20,-12.32,106,44.3,-0.0237,8768.0,36,42,28
2,0.003,3.0,0.003,0.003,30,-12.32,105,44.8,-0.0248,8768.0,40,48,17
3,0.003,3.0,0.005,0.002,20,-12.37,130,33.8,-0.0012,8763.0,24,68,38
1,0.002,3.0,0.005,0.002,10,-12.38,128,38.3,-0.0029,8762.0,15,64,49
1,0.002,3.0,0.005,0.002,20,-12.43,126,33.3,-0.005,8757.0,24,72,30
3,0.003,3.0,0.005,0.002,10,-12.58,133,38.3,-0.0007,8742.0,15,56,62
1,0.002,3.0,0.003,0.003,10,-12.87,129,48.8,-0.0064,8713.0,39,39,51
1,0.002,3.0,0.003,0.002,20,-12.99,130,40.0,-0.0068,8701.0,42,68,20
3,0.003,3.0,0.003,0.002,10,-12.99,137,43.1,-0.0013,8701.0,34,55,48
3,0.003,3.0,0.005,0.003,10,-13.18,133,42.1,-0.0059,8682.0,16,36,81
1,0.002,3.0,0.003,0.002,30,-13.34,130,38.5,-0.0098,8666.0,44,72,14
3,0.003,3.0,0.005,0.002,30,-13.38,130,30.0,-0.01,8662.0,27,76,27
1,0.002,3.0,0.005,0.003,10,-13.61,127,41.7,-0.0147,8639.0,14,41,72
1,0.002,3.0,0.005,0.003,30,-13.62,124,38.7,-0.0175,8638.0,30,63,31
3,0.003,3.0,0.005,0.003,20,-13.65,130,39.2,-0.0124,8635.0,27,50,53
2,0.003,2.0,0.005,0.003,30,-13.79,159,42.8,0.0072,8621.0,41,72,46
1,0.002,3.0,0.005,0.003,20,-13.82,125,39.2,-0.0185,8618.0,27,56,42
