roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
1,0.0015,2.0,0.005,0.002,30,-0.9,20,50.0,0.0551,9910.0,3,8,9
1,0.0015,2.0,0.005,0.003,30,-1.13,19,52.6,0.0405,9887.0,2,6,11
1,0.0015,3.0,0.003,0.003,30,-1.41,15,53.3,0.0054,9859.0,3,5,7
1,0.0015,2.0,0.005,0.003,20,-1.43,20,50.0,0.028,9857.0,1,3,16
1,0.0015,3.0,0.005,0.003,30,-1.55,15,46.7,-0.0039,9845.0,1,5,9
1,0.0015,3.0,0.003,0.002,30,-1.57,15,46.7,-0.0055,9843.0,2,7,6
5,0.003,3.0,0.003,0.002,10,-1.58,15,46.7,-0.0057,9842.0,2,5,8
1,0.0015,2.0,0.005,0.002,20,-1.58,20,45.0,0.0208,9842.0,1,7,12
5,0.003,3.0,0.005,0.002,10,-1.63,15,46.7,-0.0096,9837.0,0,5,10
1,0.0015,3.0,0.003,0.003,20,-1.7,15,46.7,-0.0139,9830.0,2,3,10
5,0.003,3.0,0.003,0.003,30,-1.71,15,46.7,-0.0147,9829.0,4,4,7
1,0.0015,3.0,0.003,0.002,10,-1.74,15,46.7,-0.0168,9826.0,2,6,7
5,0.003,3.0,0.003,0.003,10,-1.74,15,46.7,-0.0165,9826.0,2,3,10
1,0.0015,2.0,0.003,0.002,30,-1.76,21,47.6,0.0157,9824.0,5,9,7
5,0.003,3.0,0.005,0.003,10,-1.79,15,46.7,-0.0204,9821.0,0,3,12
1,0.0015,3.0,0.005,0.002,10,-1.8,15,46.7,-0.0207,9820.0,0,6,9
1,0.0015,3.0,0.005,0.002,30,-1.81,15,40.0,-0.0217,9819.0,1,7,7
3,0.002,3.0,0.003,0.002,10,-1.82,19,52.6,0.0036,9818.0,2,6,11
1,0.0015,3.0,0.003,0.002,20,-1.84,15,40.0,-0.0235,9816.0,2,7,6
3,0.002,3.0,0.005,0.002,10,-1.87,19,52.6,0.0005,9813.0,0,6,13
3,0.002,3.0,0.003,0.003,10,-1.89,19,52.6,-0.0003,9811.0,2,3,14
1,0.0015,3.0,0.003,0.003,10,-1.89,15,46.7,-0.0269,9811.0,2,3,10
5,0.003,3.0,0.003,0.002,30,-1.94,15,40.0,-0.0306,9806.0,3,7,5
5,0.003,3.0,0.003,0.003,20,-1.94,15,46.7,-0.0301,9806.0,3,3,9
1,0.0015,3.0,0.005,0.003,10,-1.95,15,46.7,-0.0308,9805.0,0,3,12
1,0.0015,3.0,0.005,0.003,20,-1.95,15,46.7,-0.0307,9805.0,0,3,12
3,0.002,3.0,0.005,0.003,10,-1.95,19,52.6,-0.0034,9805.0,0,3,16
5,0.003,3.0,0.003,0.002,20,-1.97,15,40.0,-0.0322,9803.0,3,7,5
1,0.0015,2.0,0.003,0.003,30,-1.99,20,50.0,-0.0004,9801.0,5,7,8
5,0.002,3.0,0.003,0.002,10,-2.03,20,50.0,-0.0023,9797.0,2,6,12
5,0.003,2.0,0.003,0.002,10,-2.05,17,41.2,-0.0215,9795.0,2,5,10
1,0.0015,2.0,0.003,0.003,20,-2.07,21,47.6,0.0006,9793.0,3,4,14
5,0.002,3.0,0.005,0.002,10,-2.09,20,50.0,-0.0052,9791.0,0,6,14
1,0.0015,3.0,0.005,0.002,20,-2.09,15,40.0,-0.0403,9791.0,0,7,8
5,0.003,2.0,0.005,0.002,10,-2.1,17,41.2,-0.0249,9790.0,0,5,12
5,0.002,3.0,0.003,0.003,10,-2.1,20,50.0,-0.006,9790.0,2,3,15
1,0.0015,2.0,0.003,0.002,20,-2.11,21,42.9,-0.0015,9789.0,3,8,10
1,0.0015,2.0,0.003,0.002,10,-2.12,21,52.4,-0.0018,9788.0,2,7,12
3,0.003,,0.005,0.003,30,-2.15,20,45.0,-0.0084,9785.0,1,3,16
3,0.002,3.0,0.003,0.002,20,-2.15,19,52.6,-0.0141,9785.0,3,8,8
1,0.0015,2.0,0.005,0.002,10,-2.15,21,52.4,-0.0034,9785.0,0,7,14
5,0.002,3.0,0.005,0.003,10,-2.16,20,50.0,-0.0089,9784.0,0,3,17
3,0.002,2.0,0.005,0.002,30,-2.17,24,45.8,0.0088,9783.0,4,10,10
3,0.003,,0.005,0.003,20,-2.21,20,40.0,-0.0117,9779.0,1,1,18
5,0.003,2.0,0.003,0.003,10,-2.21,17,41.2,-0.031,9779.0,2,3,12
5,0.003,2.0,0.003,0.003,30,-2.24,17,41.2,-0.0331,9776.0,4,4,9
5,0.003,3.0,0.005,0.003,20,-2.24,15,46.7,-0.0506,9776.0,0,3,12
3,0.002,3.0,0.003,0.003,20,-2.25,19,57.9,-0.0195,9775.0,3,5,11
5,0.003,2.0,0.005,0.003,10,-2.26,17,41.2,-0.0345,9774.0,0,3,14
3,0.002,2.0,0.005,0.002,20,-2.27,24,50.0,0.0046,9773.0,2,10,12
5,0.003,3.0,0.005,0.002,20,-2.27,15,40.0,-0.0527,9773.0,0,7,8
2,0.003,,0.005,0.002,10,-2.29,20,35.0,-0.0158,9771.0,0,4,16
3,0.002,3.0,0.003,0.003,30,-2.31,19,52.6,-0.0225,9769.0,4,6,9
