rsi_entry,take_profit_pct,stop_loss_pct,max_hold_bars,trend_ema_period,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
10,0.004,0.0015,45,120.0,-13.42,142,43.0,-0.0013,8658.0,16,65,61
15,0.004,0.0015,45,120.0,-14.09,144,41.7,-0.0053,8591.0,16,67,61
20,0.004,0.0015,45,120.0,-14.15,145,41.4,-0.005,8585.0,16,67,62
10,0.004,0.003,45,120.0,-14.5,122,44.3,-0.0281,8550.0,11,29,82
15,0.004,0.003,45,120.0,-15.01,123,43.1,-0.032,8499.0,11,30,82
20,0.004,0.003,45,120.0,-15.08,124,42.7,-0.0316,8492.0,11,30,83
10,0.002,0.003,45,120.0,-16.15,138,47.1,-0.0275,8385.0,41,29,68
15,0.002,0.003,45,120.0,-16.36,139,46.8,-0.0283,8364.0,41,30,68
20,0.002,0.003,45,120.0,-16.56,139,46.8,-0.03,8344.0,41,30,68
10,0.002,0.0015,45,120.0,-17.74,171,43.3,-0.0141,8226.0,45,81,45
15,0.002,0.0015,45,120.0,-17.86,172,43.0,-0.0143,8214.0,45,81,46
20,0.002,0.0015,45,120.0,-17.96,172,43.0,-0.0149,8204.0,45,80,47
10,0.004,0.003,20,120.0,-18.49,205,49.8,0.0004,8151.0,9,17,179
15,0.004,0.003,20,120.0,-19.06,209,48.8,-0.001,8094.0,9,18,182
20,0.004,0.003,20,120.0,-19.08,210,49.0,-0.0007,8092.0,9,18,183
10,0.004,0.0015,20,120.0,-19.53,219,46.1,0.0009,8047.0,8,63,148
15,0.004,0.0015,20,120.0,-20.17,223,45.3,-0.0009,7983.0,8,66,149
20,0.004,0.0015,20,120.0,-20.17,224,45.5,-0.0004,7983.0,8,64,152
10,0.002,0.003,20,120.0,-20.95,217,49.3,-0.0082,7905.0,39,18,160
15,0.002,0.003,20,120.0,-21.5,220,48.2,-0.0099,7850.0,39,19,162
20,0.002,0.003,20,120.0,-21.53,221,48.4,-0.0096,7847.0,39,19,163
10,0.002,0.0015,20,120.0,-22.66,238,46.6,-0.0079,7734.0,37,75,126
20,0.002,0.0015,20,120.0,-23.15,242,46.3,-0.0087,7685.0,37,75,130
15,0.002,0.0015,20,120.0,-23.15,241,46.1,-0.0092,7685.0,37,77,127
10,0.004,0.0015,45,,-25.32,309,42.4,0.0059,7468.0,37,141,131
20,0.004,0.003,45,,-25.36,256,45.3,-0.0138,7464.0,31,61,164
15,0.004,0.003,45,,-25.39,254,44.1,-0.0148,7461.0,31,60,163
15,0.004,0.0015,45,,-25.49,305,42.0,0.0039,7451.0,35,138,132
10,0.004,0.003,45,,-25.58,252,44.8,-0.0167,7442.0,29,58,165
20,0.004,0.0015,45,,-26.05,306,41.5,0.0017,7395.0,34,139,133
10,0.002,0.003,45,,-29.33,285,48.8,-0.0214,7067.0,92,60,133
15,0.002,0.003,45,,-29.34,289,49.1,-0.0198,7066.0,94,61,134
20,0.002,0.003,45,,-30.16,293,48.8,-0.0221,6984.0,96,64,133
10,0.002,0.0015,45,,-32.45,371,44.5,-0.0055,6755.0,105,168,98
15,0.002,0.0015,45,,-32.97,375,44.0,-0.0064,6703.0,106,170,99
20,0.002,0.0015,45,,-33.38,374,43.6,-0.0083,6662.0,104,170,100
20,0.004,0.003,20,,-37.08,463,50.8,0.0002,6292.0,21,46,396
15,0.004,0.003,20,,-37.11,459,50.8,-0.0008,6289.0,19,45,395
10,0.004,0.003,20,,-37.33,456,50.2,-0.0022,6267.0,20,45,391
10,0.004,0.0015,20,,-37.67,503,47.5,0.0063,6233.0,22,140,341
15,0.004,0.0015,20,,-37.88,508,47.2,0.0065,6212.0,23,140,345
20,0.004,0.0015,20,,-38.61,510,46.9,0.0046,6139.0,22,141,347
10,0.002,0.003,20,,-40.65,480,49.8,-0.0085,5935.0,80,51,349
15,0.002,0.003,20,,-41.29,484,49.6,-0.0098,5871.0,82,52,350
20,0.002,0.003,20,,-41.72,488,49.8,-0.0104,5828.0,84,53,351
10,0.002,0.0015,20,,-42.73,541,46.6,-0.0028,5727.0,86,159,296
15,0.002,0.0015,20,,-43.21,547,46.3,-0.0032,5679.0,89,163,295
20,0.002,0.0015,20,,-43.78,549,45.9,-0.0047,5622.0,87,164,298
